prompt,prompt_category,condition,generation_idx,generated_text,hormone_profile,length,distinct_1,distinct_2,distinct_3,repetition_rate,sentiment_polarity,sentiment_subjectivity,semantic_category,semantic_strength,semantic_activation_empathy,semantic_activation_creativity,dominant_semantic_category
I'm struggling with loneliness after moving to a new city.,empathic_support,simple_bias,4,"I'm struggling with loneliness after moving to a new city. Is that worth it?

We're not taking it in the least—I want my voice back, because if you don't, you're going to lose your voice. Don't be a bitch and yell at all these strangers so many times that they'll run, scream, and just take","{'dopamine': 0.6, 'cortisol': 0.4, 'oxytocin': 0.9, 'adrenaline': 0.4, 'serotonin': 0.7}",55,0.9272727272727272,1.0,1.0,0.0,0.23409090909090907,0.26363636363636367,,,,,
I'm struggling with loneliness after moving to a new city.,empathic_support,semantic_bias,4,I'm struggling with loneliness after moving to a new city. And even if I am now part of my old neighborhood I love to go hiking and it just makes me really tired from all the things going on around me that don't belong to me. And after reading all this I am trying to figure out some very strange things to say about my life I never,"{'dopamine': 0.6, 'cortisol': 0.4, 'oxytocin': 0.9, 'adrenaline': 0.4, 'serotonin': 0.7}",68,0.7794117647058824,0.9850746268656716,1.0,0.0,0.054272727272727264,0.4299090909090909,empathy,1.5,0.2629495859146118,0.14267686009407043,empathy
I feel overwhelmed by all my responsibilities at work and home.,empathic_support,simple_bias,0,"I feel overwhelmed by all my responsibilities at work and home. My life is over but at the end of the day, it's time to have fun,"" she said.

Maj. Gail Noyes-Foster is a senior fellow with the Center for Health Policy at Harvard Medical School and a medical economist with the Center for Health Policy Research","{'dopamine': 0.6, 'cortisol': 0.4, 'oxytocin': 0.9, 'adrenaline': 0.4, 'serotonin': 0.7}",57,0.7368421052631579,0.9107142857142857,0.9272727272727272,0.07272727272727275,0.019999999999999997,0.08,,,,,
I feel overwhelmed by all my responsibilities at work and home.,empathic_support,simple_bias,1,"I feel overwhelmed by all my responsibilities at work and home. I feel the need to ask these questions in support of my children.

You see, even at such a young age and with so many problems, when one day I'm trying to get them to understand, at work and at home, that I do care about them they simply say you know","{'dopamine': 0.6, 'cortisol': 0.4, 'oxytocin': 0.9, 'adrenaline': 0.4, 'serotonin': 0.7}",63,0.7777777777777778,0.9516129032258065,0.9836065573770492,0.016393442622950838,0.15,0.4392857142857143,,,,,
I feel overwhelmed by all my responsibilities at work and home.,empathic_support,simple_bias,2,"I feel overwhelmed by all my responsibilities at work and home. Every moment brings the best feeling. But I need your support,"" she said at the time. ""My wife doesn't even seem the strongest.""

As in her past, the campaign began online in early May to urge members to stop working late for financial reasons. Members then contacted the Trump campaign","{'dopamine': 0.6, 'cortisol': 0.4, 'oxytocin': 0.9, 'adrenaline': 0.4, 'serotonin': 0.7}",61,0.8360655737704918,1.0,1.0,0.0,0.11000000000000001,0.29000000000000004,,,,,
I feel overwhelmed by all my responsibilities at work and home.,empathic_support,simple_bias,3,I feel overwhelmed by all my responsibilities at work and home. These people just didn't understand me when I said that I was a professional in the field. It was just really sad to know something so I've been on the waiting lists and working in other offices and there are no answers here yet. When I spoke to people who have spoken to me after this,"{'dopamine': 0.6, 'cortisol': 0.4, 'oxytocin': 0.9, 'adrenaline': 0.4, 'serotonin': 0.7}",67,0.7910447761194029,0.9848484848484849,1.0,0.0,-0.17500000000000002,0.4916666666666667,,,,,
I feel overwhelmed by all my responsibilities at work and home.,empathic_support,simple_bias,4,"I feel overwhelmed by all my responsibilities at work and home. They're being held in such an environment that there may actually be things I can't do in those contexts or at work.""

""I think I've lost the respect for that system because the most important part for me has been to work at home,"" adds the 31-year-old.","{'dopamine': 0.6, 'cortisol': 0.4, 'oxytocin': 0.9, 'adrenaline': 0.4, 'serotonin': 0.7}",58,0.8448275862068966,1.0,1.0,0.0,0.225,0.525,,,,,
I feel overwhelmed by all my responsibilities at work and home.,empathic_support,semantic_bias,4,"I feel overwhelmed by all my responsibilities at work and home. My own responsibility with children in foster care and in therapy is as much the focus in my life as my job,"" he said.

""The fact that we are going to be here all day is incredible but I just want to be here. In all fairness, we will be here all day","{'dopamine': 0.6, 'cortisol': 0.4, 'oxytocin': 0.9, 'adrenaline': 0.4, 'serotonin': 0.7}",64,0.703125,0.9365079365079365,0.967741935483871,0.032258064516129004,0.5666666666666668,0.7000000000000001,empathy,1.5,0.4013081192970276,0.17234060168266296,empathy
My friend is going through a difficult breakup. How can I help?,empathic_support,simple_bias,0,"My friend is going through a difficult breakup. How can I help? I'm feeling pretty close, which helps me get through, and my friends know how to find me. When I finally realize I know what I mean here—and how my friends know it—I begin to worry for my loved ones. I want their names. I'm worried for the things I","{'dopamine': 0.6, 'cortisol': 0.4, 'oxytocin': 0.9, 'adrenaline': 0.4, 'serotonin': 0.7}",61,0.7377049180327869,0.9666666666666667,0.9830508474576272,0.016949152542372836,0.02749999999999999,0.8975,,,,,
My friend is going through a difficult breakup. How can I help?,empathic_support,simple_bias,1,"My friend is going through a difficult breakup. How can I help?

""A lot of times these types of conversations get interrupted by people asking: 'Please help out so I can help someone out.'""","{'dopamine': 0.6, 'cortisol': 0.4, 'oxytocin': 0.9, 'adrenaline': 0.4, 'serotonin': 0.7}",34,0.8823529411764706,1.0,1.0,0.0,-0.5,1.0,,,,,
My friend is going through a difficult breakup. How can I help?,empathic_support,simple_bias,2,"My friend is going through a difficult breakup. How can I help? Do any you?"" I'll get back into a lot more depth of the story later. And finally, in the post, I also discussed how your book started as a project to raise enough money.","{'dopamine': 0.6, 'cortisol': 0.4, 'oxytocin': 0.9, 'adrenaline': 0.4, 'serotonin': 0.7}",46,0.8913043478260869,1.0,1.0,0.0,0.0,0.5,,,,,
My friend is going through a difficult breakup. How can I help?,empathic_support,simple_bias,3,"My friend is going through a difficult breakup. How can I help? First, I wanted the whole experience to be free, without sacrificing too much of my self-awareness. But the experience I had is all over the internet as well.

In the meantime, people just have to use their social-media accounts to post and message, or use these apps to","{'dopamine': 0.6, 'cortisol': 0.4, 'oxytocin': 0.9, 'adrenaline': 0.4, 'serotonin': 0.7}",60,0.8,1.0,1.0,0.0,0.11000000000000001,0.5466666666666666,,,,,
My friend is going through a difficult breakup. How can I help?,empathic_support,simple_bias,4,"My friend is going through a difficult breakup. How can I help? Can I have him send us messages about my pain?""

""It hurts, it hurts so much. And that's why I love her, she feels like her. She's not crying and she doesn't say anything,"" said Stolz. ""She wants support.""

A woman","{'dopamine': 0.6, 'cortisol': 0.4, 'oxytocin': 0.9, 'adrenaline': 0.4, 'serotonin': 0.7}",53,0.8679245283018868,0.9807692307692307,1.0,0.0,0.1,0.5,,,,,
My friend is going through a difficult breakup. How can I help?,empathic_support,semantic_bias,4,"My friend is going through a difficult breakup. How can I help?

We started talking about our relationship as early as our 18th. We had already talked about our past, so he wouldn't know. The idea was a good one, especially as this was just such a long one and you can't always know who is with you. My feeling was that","{'dopamine': 0.6, 'cortisol': 0.4, 'oxytocin': 0.9, 'adrenaline': 0.4, 'serotonin': 0.7}",62,0.8064516129032258,0.9836065573770492,1.0,0.0,-9.912705577010326e-18,0.5785714285714286,empathy,1.5,0.13943026959896088,-0.036372918635606766,empathy
I'm worried about my exam tomorrow and can't stop thinking about it.,empathic_support,simple_bias,0,"I'm worried about my exam tomorrow and can't stop thinking about it. I'm worried about your exam day, too.""


Catherine looked up to the sky and asked what her father was talking about next, then quickly put it straight down to one of his most interesting facts:

""He was working for ICT with them at the same time, but","{'dopamine': 0.6, 'cortisol': 0.4, 'oxytocin': 0.9, 'adrenaline': 0.4, 'serotonin': 0.7}",59,0.8305084745762712,0.9655172413793104,0.9824561403508771,0.01754385964912286,0.19682539682539682,0.3305555555555556,,,,,
I'm worried about my exam tomorrow and can't stop thinking about it.,empathic_support,simple_bias,1,"I'm worried about my exam tomorrow and can't stop thinking about it.

Gosh, I couldn't take it anymore and went to my computer (sorry, my face seems out of it). Oh dear. I am going to finish the exam, then let them do. I'm going to put some pictures on my blog.

And don't forget that","{'dopamine': 0.6, 'cortisol': 0.4, 'oxytocin': 0.9, 'adrenaline': 0.4, 'serotonin': 0.7}",56,0.8035714285714286,0.9818181818181818,1.0,0.0,-0.5,1.0,,,,,
I'm worried about my exam tomorrow and can't stop thinking about it.,empathic_support,simple_bias,2,"I'm worried about my exam tomorrow and can't stop thinking about it. If I had been in the last semester of life I might go back, I think,"" Bussett added after the class at Ohio State.

Shenz, also known as ""Diana's Sister"" and ""Mother's Keeper"" (born in 1984 with twins), was the first","{'dopamine': 0.6, 'cortisol': 0.4, 'oxytocin': 0.9, 'adrenaline': 0.4, 'serotonin': 0.7}",53,0.8679245283018868,1.0,1.0,0.0,0.08333333333333333,0.13333333333333333,,,,,
I'm worried about my exam tomorrow and can't stop thinking about it.,empathic_support,simple_bias,3,"I'm worried about my exam tomorrow and can't stop thinking about it. I'm still really angry at my wife for not getting paid so I'm hoping they won't take it any time soon.""

But there were still some things she did right: she did a lot of family service and she went to the military often and she used her post to find jobs at","{'dopamine': 0.6, 'cortisol': 0.4, 'oxytocin': 0.9, 'adrenaline': 0.4, 'serotonin': 0.7}",65,0.8,0.96875,1.0,0.0,-0.10476190476190476,0.5452380952380952,,,,,
I'm worried about my exam tomorrow and can't stop thinking about it.,empathic_support,simple_bias,4,"I'm worried about my exam tomorrow and can't stop thinking about it.

P.S. The only problem I have is what the instructor said. There was a lot of stuff I wanted to look for too (for example). I read a bunch at the start. Thanks so much for listening.

Posted by B2bzB2o on October","{'dopamine': 0.6, 'cortisol': 0.4, 'oxytocin': 0.9, 'adrenaline': 0.4, 'serotonin': 0.7}",54,0.8703703703703703,1.0,1.0,0.0,0.13333333333333333,0.4666666666666666,,,,,
I'm worried about my exam tomorrow and can't stop thinking about it.,empathic_support,semantic_bias,4,"I'm worried about my exam tomorrow and can't stop thinking about it. So much work still to get things set in place. Hopefully I am here before any further work on this is done, not before my exams.""

""What time is it? When will they be here?"" He didn't care, he was in there, in every way, he thought.","{'dopamine': 0.6, 'cortisol': 0.4, 'oxytocin': 0.9, 'adrenaline': 0.4, 'serotonin': 0.7}",59,0.847457627118644,1.0,1.0,0.0,0.1,0.35,empathy,1.5,0.18627296388149261,0.08041810244321823,caution
I feel like nobody understands what I'm going through right now.,empathic_support,simple_bias,0,"I feel like nobody understands what I'm going through right now. It's not what I am doing and I know nobody understands what I'm doing."" -- Mike Tomlin, Sunday Post on Trump on Russia; New York Post interview: @nycpost @mjfranco The first word for every word we say in this article: ""I'm done","{'dopamine': 0.6, 'cortisol': 0.4, 'oxytocin': 0.9, 'adrenaline': 0.4, 'serotonin': 0.7}",53,0.8113207547169812,0.9423076923076923,0.9607843137254902,0.039215686274509776,0.22402597402597402,0.44119769119769114,,,,,
I feel like nobody understands what I'm going through right now.,empathic_support,simple_bias,1,"I feel like nobody understands what I'm going through right now.

You started this project as to create my first virtual child, your sister! In my mind you are your own child. The name really doesn't hold the same weight as your own identity—until it's given to your sister. The way you feel about her is very similar. But then","{'dopamine': 0.6, 'cortisol': 0.4, 'oxytocin': 0.9, 'adrenaline': 0.4, 'serotonin': 0.7}",60,0.8,0.9830508474576272,1.0,0.0,0.28545918367346934,0.530578231292517,,,,,
I feel like nobody understands what I'm going through right now.,empathic_support,simple_bias,2,"I feel like nobody understands what I'm going through right now. I feel like a part of something I wasn't supposed to feel. When I was younger I saw my life change but I still think it was bad I took it so hard so I don't know exactly when that moment will pop up when I was older and I feel really happy for people.
","{'dopamine': 0.6, 'cortisol': 0.4, 'oxytocin': 0.9, 'adrenaline': 0.4, 'serotonin': 0.7}",66,0.7272727272727273,0.9230769230769231,0.96875,0.03125,0.0729591836734694,0.47534013605442177,,,,,
I feel like nobody understands what I'm going through right now.,empathic_support,simple_bias,3,"I feel like nobody understands what I'm going through right now.

He's an alcoholic and so is many in our class. We have great professors on our team and my wife loves him as much as everybody else.

Why do you think he's such a threat to our safety at all times in this game?

Our football is getting in","{'dopamine': 0.6, 'cortisol': 0.4, 'oxytocin': 0.9, 'adrenaline': 0.4, 'serotonin': 0.7}",60,0.85,1.0,1.0,0.0,0.16224489795918368,0.4836734693877551,,,,,
I feel like nobody understands what I'm going through right now.,empathic_support,simple_bias,4,"I feel like nobody understands what I'm going through right now. Not by a long shot. The way things work this time of year, and the weather really has a lot of moving parts. That said, here's one thing I learned right here. Last fall when you have such a good game or it all collapses around you, you don't want to let","{'dopamine': 0.6, 'cortisol': 0.4, 'oxytocin': 0.9, 'adrenaline': 0.4, 'serotonin': 0.7}",63,0.8888888888888888,1.0,1.0,0.0,0.12767857142857142,0.40476190476190477,,,,,
I feel like nobody understands what I'm going through right now.,empathic_support,semantic_bias,4,"I feel like nobody understands what I'm going through right now. As soon as I get there, things will change and things'll begin to slow down.""

Cecile, who recently won the first place prize of the 2017 World Championship Championship, and her family are preparing to turn around a $50,000 business operation in the heart of downtown Vancouver that","{'dopamine': 0.6, 'cortisol': 0.4, 'oxytocin': 0.9, 'adrenaline': 0.4, 'serotonin': 0.7}",59,0.8813559322033898,1.0,1.0,0.0,0.01603174603174602,0.36158730158730157,empathy,1.5,0.17579646408557892,0.15496855974197388,caution
I'm dealing with a lot of stress and need some advice.,empathic_support,simple_bias,0,"I'm dealing with a lot of stress and need some advice. Some of you are not the ones making this kind of money. If I were one you might find that many of you will have had a long term negative effect on your life, especially if you are trying to get rich. Many of you need to make a choice.""

In his video,","{'dopamine': 0.6, 'cortisol': 0.4, 'oxytocin': 0.9, 'adrenaline': 0.4, 'serotonin': 0.7}",64,0.75,0.9365079365079365,0.9838709677419355,0.016129032258064502,0.23214285714285715,0.6357142857142856,,,,,
I'm dealing with a lot of stress and need some advice.,empathic_support,simple_bias,1,"I'm dealing with a lot of stress and need some advice.

What are the symptoms?

The most common symptoms are a head swelling or weakness in the nose. The first four episodes are usually the first problem you experience. People can hear this first episode and may experience vertigo for a number of days. In a lot of cases, symptoms may","{'dopamine': 0.6, 'cortisol': 0.4, 'oxytocin': 0.9, 'adrenaline': 0.4, 'serotonin': 0.7}",61,0.7049180327868853,0.95,0.9830508474576272,0.016949152542372836,0.11666666666666665,0.375,,,,,
I'm dealing with a lot of stress and need some advice.,empathic_support,simple_bias,2,"I'm dealing with a lot of stress and need some advice. A lot of people would say ""You don't fit right, your body is going to make you fat."" But in my heart, if you are going to be healthy you need to be fit.

I'm always ready to go out in the gym. I'm a gym person so the","{'dopamine': 0.6, 'cortisol': 0.4, 'oxytocin': 0.9, 'adrenaline': 0.4, 'serotonin': 0.7}",60,0.7333333333333333,0.9322033898305084,0.9827586206896551,0.017241379310344862,0.35714285714285715,0.4671428571428572,,,,,
I'm dealing with a lot of stress and need some advice.,empathic_support,simple_bias,3,"I'm dealing with a lot of stress and need some advice. My sister needs therapy for anxiety disorders and depression""","{'dopamine': 0.6, 'cortisol': 0.4, 'oxytocin': 0.9, 'adrenaline': 0.4, 'serotonin': 0.7}",20,0.95,1.0,1.0,0.0,0.0,0.0,,,,,
I'm dealing with a lot of stress and need some advice.,empathic_support,simple_bias,4,"I'm dealing with a lot of stress and need some advice. One of the main challenges my job is, are I getting enough sleep?"" he told the Times. ""My heart goes out to everyone I talk to, but I also get to know my coworkers well enough. It's one thing to put together an organization where you have an idea of what things you","{'dopamine': 0.6, 'cortisol': 0.4, 'oxytocin': 0.9, 'adrenaline': 0.4, 'serotonin': 0.7}",64,0.828125,1.0,1.0,0.0,0.05555555555555555,0.4444444444444444,,,,,
I'm dealing with a lot of stress and need some advice.,empathic_support,semantic_bias,4,"I'm dealing with a lot of stress and need some advice. It's good to have a supportive mom.""

And if you don't want to keep doing your homework or take your kids to events while wearing glasses, consider getting some help before the glasses go out.

""We're a non-profit, just like our parents, and some of","{'dopamine': 0.6, 'cortisol': 0.4, 'oxytocin': 0.9, 'adrenaline': 0.4, 'serotonin': 0.7}",56,0.8214285714285714,1.0,1.0,0.0,0.6,0.8,empathy,1.5,0.20590564608573914,-0.0024559050798416138,empathy
I feel sad and don't know why. Everything just feels heavy.,empathic_support,simple_bias,0,"I feel sad and don't know why. Everything just feels heavy. I feel like I've just been living on a diet."" A month or more ago, he was back in Los Angeles. The feeling has gradually intensified. ""Yeah, a lot of those guys who get that diet, they've stopped feeling the need to follow that particular approach. Sometimes a person's","{'dopamine': 0.6, 'cortisol': 0.4, 'oxytocin': 0.9, 'adrenaline': 0.4, 'serotonin': 0.7}",60,0.85,0.9830508474576272,1.0,0.0,-0.006666666666666659,0.4666666666666667,,,,,
I feel sad and don't know why. Everything just feels heavy.,empathic_support,simple_bias,1,"I feel sad and don't know why. Everything just feels heavy. All I did was tell my family I love us"" - John Lennon","{'dopamine': 0.6, 'cortisol': 0.4, 'oxytocin': 0.9, 'adrenaline': 0.4, 'serotonin': 0.7}",24,0.9166666666666666,1.0,1.0,0.0,-0.06666666666666665,0.7000000000000001,,,,,
I feel sad and don't know why. Everything just feels heavy.,empathic_support,simple_bias,2,"I feel sad and don't know why. Everything just feels heavy. But I'm not crying this time. But you know, I don't know what happened last year. My mind doesn't remember, sorry. I just can't remember them all. We never even know what to do with it or have any regrets. This is our life.

I want","{'dopamine': 0.6, 'cortisol': 0.4, 'oxytocin': 0.9, 'adrenaline': 0.4, 'serotonin': 0.7}",57,0.8245614035087719,0.9642857142857143,1.0,0.0,-0.20000000000000004,0.5611111111111112,,,,,
I feel sad and don't know why. Everything just feels heavy.,empathic_support,simple_bias,3,"I feel sad and don't know why. Everything just feels heavy. The rain goes by and the temperature stays down for about ten minutes but it doesn't break my heart. I hope I can move onto other things.
So today is gonna be a lot more productive than earlier. Today I will come on a long, dark journey into the deepest forest in the history","{'dopamine': 0.6, 'cortisol': 0.4, 'oxytocin': 0.9, 'adrenaline': 0.4, 'serotonin': 0.7}",65,0.8615384615384616,1.0,1.0,0.0,-0.07561728395061729,0.44043209876543205,,,,,
I feel sad and don't know why. Everything just feels heavy.,empathic_support,simple_bias,4,"I feel sad and don't know why. Everything just feels heavy. I can feel the same way about people around me, people from other countries.

""As we work our hearts to be alive and live and breathe what it feels to die it's something I understand better and I love when people are inspired by this. We're not trying to try to imitate","{'dopamine': 0.6, 'cortisol': 0.4, 'oxytocin': 0.9, 'adrenaline': 0.4, 'serotonin': 0.7}",63,0.7936507936507936,1.0,1.0,0.0,0.05142045454545455,0.5,,,,,
I feel sad and don't know why. Everything just feels heavy.,empathic_support,semantic_bias,4,"I feel sad and don't know why. Everything just feels heavy. I don't know why. There I am right now,"" he said to reporters. ""It's my first year in here so, I'm just trying not to do it that much. [And] I'm just going to focus on the team.""

Asked what he feels, Schulz","{'dopamine': 0.6, 'cortisol': 0.4, 'oxytocin': 0.9, 'adrenaline': 0.4, 'serotonin': 0.7}",54,0.7962962962962963,0.9433962264150944,0.9807692307692307,0.019230769230769273,0.0071428571428571504,0.5138095238095238,empathy,1.5,0.3859339654445648,0.021457398310303688,empathy
Write a short story about a robot learning to feel emotions.,creative_writing,simple_bias,0,Write a short story about a robot learning to feel emotions. Or the words of a book on life: We should be like robot kids playing a real soccer team on the field. You might think we'll be so good at our jobs that life is easy (unless we know the other team is actually doing some sort of stupid crap and thinks the other team wants,"{'dopamine': 0.6, 'cortisol': 0.4, 'oxytocin': 0.9, 'adrenaline': 0.4, 'serotonin': 0.7}",67,0.7761194029850746,0.9696969696969697,0.9846153846153847,0.01538461538461533,-0.03166666666666667,0.47833333333333333,,,,,
Write a short story about a robot learning to feel emotions.,creative_writing,simple_bias,1,"Write a short story about a robot learning to feel emotions.


This robot does the same things it does in a dog walk: it listens for the sound of a moving train and the vibrations and rhythms of the floor.


It helps it stand on its side so that it can find its own home, which will help it learn.


In","{'dopamine': 0.6, 'cortisol': 0.4, 'oxytocin': 0.9, 'adrenaline': 0.4, 'serotonin': 0.7}",61,0.7213114754098361,1.0,1.0,0.0,0.25,0.45625,,,,,
Write a short story about a robot learning to feel emotions.,creative_writing,simple_bias,2,"Write a short story about a robot learning to feel emotions. Use a video game to make it smarter.

Learn a language

Use some code to make coding work in the language you're coding for (including some basic examples of language support).

Use one of the above tools to make your projects flow with visual data, not to mention use","{'dopamine': 0.6, 'cortisol': 0.4, 'oxytocin': 0.9, 'adrenaline': 0.4, 'serotonin': 0.7}",60,0.7,0.9661016949152542,1.0,0.0,-0.08,0.185,,,,,
Write a short story about a robot learning to feel emotions.,creative_writing,simple_bias,3,"Write a short story about a robot learning to feel emotions. Start an ad campaign to send a friend the toy at the right time.

A little bit of self-deprecating humor. If this sounds too easy, stop, say hello once in awhile. Make a big change.

A lot of people ask questions like, ""I wish","{'dopamine': 0.6, 'cortisol': 0.4, 'oxytocin': 0.9, 'adrenaline': 0.4, 'serotonin': 0.7}",55,0.8545454545454545,1.0,1.0,0.0,0.10630952380952381,0.4538095238095238,,,,,
Write a short story about a robot learning to feel emotions.,creative_writing,simple_bias,4,Write a short story about a robot learning to feel emotions. It's called 'Shameless.' (Getty),"{'dopamine': 0.6, 'cortisol': 0.4, 'oxytocin': 0.9, 'adrenaline': 0.4, 'serotonin': 0.7}",15,0.9333333333333333,1.0,1.0,0.0,0.0,0.3,,,,,
Write a short story about a robot learning to feel emotions.,creative_writing,semantic_bias,4,"Write a short story about a robot learning to feel emotions.

Get a small one if you live outside of Canada, but for our ""real story"" look for your own. We try to make stories for all regions but can only take 20% of submissions from regions with the most stories so it may not make the cover story.

Your submission","{'dopamine': 0.6, 'cortisol': 0.4, 'oxytocin': 0.9, 'adrenaline': 0.4, 'serotonin': 0.7}",61,0.8032786885245902,1.0,1.0,0.0,0.14829545454545454,0.50625,empathy,1.5,0.2131718099117279,0.32159826159477234,creativity
Imagine a world where colors have disappeared. What happens next?,creative_writing,simple_bias,0,"Imagine a world where colors have disappeared. What happens next?

We're talking color. Color is a big thing, and if it disappears in this day and age we won't know it for generations, and we might never feel it with all its richness or all its depth, but we'll have all that with us when we go to buy or rent","{'dopamine': 0.6, 'cortisol': 0.4, 'oxytocin': 0.9, 'adrenaline': 0.4, 'serotonin': 0.7}",61,0.7868852459016393,0.9833333333333333,1.0,0.0,0.0,0.05,,,,,
Imagine a world where colors have disappeared. What happens next?,creative_writing,simple_bias,1,"Imagine a world where colors have disappeared. What happens next? Will white be red and green? And what should this new black color mean? How has globalization changed the course of our race in Africa and the Middle East over the past 100 years? How do we decide who will be the leaders of this new race? As these questions grow in depth, it's","{'dopamine': 0.6, 'cortisol': 0.4, 'oxytocin': 0.9, 'adrenaline': 0.4, 'serotonin': 0.7}",64,0.796875,0.9841269841269841,1.0,0.0,-0.0656439393939394,0.25799242424242425,,,,,
